Scope,Console ID,Current Console ID (Auto generated),GAP ID,CR ID,Tower Name,Release Name,GPO Lead,Process Sub-Lead,Business Unit,IT Tower Lead,RICEFW Type,Deloitte Tower Lead,RICEFW Description/ Short Text,B-App IAPM ID,B-App Name,L3 Process Code,L3 Design Sprint End,FS Responsible Team,TDD Responsible Team,RICEFW Intake Form Status,RICEFW Intake Form Link,Process Steward,Created By,Comments,Status,RICEFW ID,Intimation Alert,Row Id,CR Creation Date,Created
01. IAO ERP,515.0,1352.0,MR-070-0009,,03. FPR,03.R3,Shane Bethune,Shira Koerbel,03.Shared Services,Bharath PLVN,01.Report,Prabesh Acharya,Report - Verify and Validate that ZBA Transactions in Bank Statements created the corresponding IHC Cash Pool transactions,,,MR-070-050,#NO MATCH,01.Deloitte,01.Deloitte,02.Aligned with GPO,https://intel.sharepoint.com/:p:/r/sites/inteldeloitteiao/Shared%20Documents/General/Implementation/11.%20Technology/RICEFW/10%20RICEFW%20Inbox/MR-070-0009_FPR_RICEFW%20Intake%20Form_v1.0.pptx?d=w3824a8cbca794f198133a0c6640429f7&csf=1&web=1&e=MUnSE4,,Mrudul Chillarige,05/16 : Intake Complete,01.inactive,FPRR0225,,#CIRCULAR REFERENCE,,2024-04-24 04:29:47
01. IAO ERP,516.0,1353.0,MR-070-0010,,03. FPR,03.R3,Shane Bethune,Shira Koerbel,03.Shared Services,Bharath PLVN,04.Enhancement,Prabesh Acharya,Reversal - Automatic Reversal of Accounting Documents for failed IHC/B2B and Treasury payments,,,MR-070-050,#NO MATCH,01.Deloitte,01.Deloitte,01.Pending alignment with GPO,https://intel.sharepoint.com/:p:/r/sites/inteldeloitteiao/Shared%20Documents/General/Implementation/11.%20Technology/RICEFW/10%20RICEFW%20Inbox/MR-010-0010_FPR_RICEFW%20Intake%20form_v1.0.pptx?d=wb2e0d46bc5f74969814859cab8543b77&csf=1&web=1&e=By9FbM,,Mrudul Chillarige,,01.inactive,,,#CIRCULAR REFERENCE,,2024-04-24 04:29:47
01. IAO ERP,520.0,1354.0,L-040-010,,07. FTS IF,02.R2,Randy Eck,Chris Yeager,02.IF - Intel Foundry,Kim Holloway,04.Enhancement,"maheshgowda@deloitte.com, Ruben David Alvarez Carroz",Create Inbound Delivery without reference based on by ASN received from MPL,,,L-040-010,#NO MATCH,01.Deloitte,01.Deloitte,02.Aligned with GPO,https://intel.sharepoint.com/:p:/r/sites/inteldeloitteiao/Shared%20Documents/General/Implementation/11.%20Technology/RICEFW/10%20RICEFW%20Inbox/520_R3_FTS_IF_LOGISTICS_L-040-010_%20RICEFW%20Intake%20form_Enhancement.pptx?d=w5d1f4458420748949f23593907bd1360&csf=1&web=1&e=PWWXIe,,Samhitha Venkatesh,"06/06: intake Processed 
5/13: Approved by Chris Y
5/8: Logistics team waiting for PS approval
6/4: Final review and approval from GPO",03.Processed,FTSE0306,,#CIRCULAR REFERENCE,,2024-04-25 21:00:47
01. IAO ERP,521.0,1355.0,L-040-010,,07. FTS IF,02.R2,Randy Eck,Chris Yeager,02.IF - Intel Foundry,Kim Holloway,02.Interface,"maheshgowda@deloitte.com, Ruben David Alvarez Carroz",ASN interface from MPL to S/4,36515.0,Mark Pack Label,L-040-010,#NO MATCH,01.Deloitte,01.Deloitte,02.Aligned with GPO,https://intel.sharepoint.com/:p:/r/sites/inteldeloitteiao/Shared%20Documents/General/Implementation/11.%20Technology/RICEFW/10%20RICEFW%20Inbox/521_R3_FTS_IF_LOGISTICS_L-040-010_%20RICEFW%20Intake%20form_Interface.pptx?d=wceca6e8a686c4cb8af75b4e0f5699ea2&csf=1&web=1&e=0cbeJV,,Samhitha Venkatesh,"06/06: intake Processed 
5/13: Approved by Chris Y
5/8: Logistics team waiting for PS approval
6/4: Approval from GPO",03.Processed,FTSI0303,,#CIRCULAR REFERENCE,,2024-04-25 21:00:47
01. IAO ERP,522.0,1356.0,CM-050-020,,04. OTC IF,03.R3,Jill Matalon,,03.Shared Services,,04.Enhancement,Ravi Vishwanathan,Credit and Collections - Credit Check Step Configuration,,,CM-050-020,#NO MATCH,01.Deloitte,01.Deloitte,02.Aligned with GPO,https://intel.sharepoint.com/:p:/r/sites/inteldeloitteiao/Shared%20Documents/General/Implementation/11.%20Technology/RICEFW/10%20RICEFW%20Inbox/522_OTC_RICEFW%20CFIN%20Credit%20Check%20Rule%20Configuration.pptx?d=w473f0602096c41289cf003287a2bbbc0&csf=1&web=1&e=Hq22Dx,,Matthew Fisher,"05/16: Intake complete
CFIN Credit Rule BaDI (found under OTC purview, but in CFIN)",03.Processed,OTCE0235,,,,2024-04-25 05:00:37
01. IAO ERP,523.0,1357.0,CM-060-050,,04. OTC IF,03.R3,Jill Matalon,,03.Shared Services,,04.Enhancement,Ravi Vishwanathan,Credit and Collections - Collection Rule Configuration,,,CM-060-050,#NO MATCH,01.Deloitte,01.Deloitte,,https://intel.sharepoint.com/:p:/r/sites/inteldeloitteiao/Shared%20Documents/General/Implementation/11.%20Technology/RICEFW/10%20RICEFW%20Inbox/523_OTC_RICEFW%20CFIN%20Collection%20Configuration.pptx?d=w10043672bea8475aaf43b6cc6989acb6&csf=1&web=1&e=2jjgw6,,Matthew Fisher,"Cancelled per Matt Fisher 6/4. CFIN Collection Rule BaDI (found under OTC purview, but in CFIN)",01.inactive,,,,,2024-04-26 07:43:41
01. IAO ERP,524.0,1358.0,DC-040-070-0001,,03. FPR,03.R3,Shane Bethune,Rea Meyer,02.IF - Intel Foundry,Bharath PLVN,02.Interface,Prabesh Acharya,Inactive Cost center update Program,,,DC-040-070,R3 Design Sprint 2,01.Deloitte,01.Deloitte,02.Aligned with GPO,https://intel.sharepoint.com/:p:/r/sites/inteldeloitteiao/Shared%20Documents/General/Implementation/11.%20Technology/RICEFW/10%20RICEFW%20Inbox/Replacement%20Cost%20Center_V1.pptx?d=w59dc09223bc74b8687602abb22e75563&csf=1&web=1&e=4h2AeP,,Krutika Gupta,06/26/24: Replacement Cost Center Package,03.Processed,"FPRE0428_IP, FPRE0428_IF",,,,2024-04-23 06:48:17
01. IAO ERP,525.0,1359.0,DC-040-010-0006,,03. FPR,03.R3,Shane Bethune,Rea,02.IF - Intel Foundry,Bharath PLVN,04.Enhancement,Prabesh Acharya,Block subnumber creation when main asset is deactivated and changing useful life and dep key for some complex countries,,,DC-040-010,R3 Design Sprint 2,01.Deloitte,01.Deloitte,00.Draft,https://intel.sharepoint.com/:p:/r/sites/inteldeloitteiao/Shared%20Documents/General/Implementation/11.%20Technology/RICEFW/10%20RICEFW%20Inbox/DC-040-010-0006_FPR_Assets%20subsitution%20and%20validation%20rule%20user%20exit.pptx?d=w8e397d9ad73148fe99bce72d104f1508&csf=1&web=1&e=Lt3IPY,,Krutika Gupta,"SAP comments added.

Block subnumber creation when main asset is deactivated and changing useful life and dep key for some complex countries
09/03: Already included in 1902 - FPRE0499",01.inactive,,,,,2024-04-23 06:52:20
01. IAO ERP,526.0,1360.0,DC-050-500-IDM-USID-1156-FPR,,03. FPR,03.R3,Shane Bethune,Matthew Reoberts,02.IF - Intel Foundry,Bharath PLVN,02.Interface,Prabesh Acharya,Inbound Interface from XEUS to S/4 to update UTP date on WBS element,,,DC-050-500,R3 Design Sprint 3,01.Deloitte,01.Deloitte,02.Aligned with GPO,https://intel.sharepoint.com/:p:/r/sites/inteldeloitteiao/Shared%20Documents/General/Implementation/11.%20Technology/RICEFW/10%20RICEFW%20Inbox/S4HANA_XEUS_INTERFACE.pptx?d=w2ceabc74a7c442768c8631dc2c9701aa&csf=1&web=1&e=ynj0d1,,Mohit Moreshwar Fating,,03.Processed,FPRI0187 [Cancelled],,,,2024-04-25 07:31:39
01. IAO ERP,527.0,1361.0,DC-050-500-IDM-USID-1155-FPR,,03. FPR,03.R3,Shane Bethune,Matthew Reoberts,02.IF - Intel Foundry,Bharath PLVN,02.Interface,Prabesh Acharya,Inbound Interface from EMS to S/4 to create WBS element and Update WBS element attributes,,,DC-050-500,R3 Design Sprint 3,01.Deloitte,01.Deloitte,02.Aligned with GPO,https://intel.sharepoint.com/:p:/r/sites/inteldeloitteiao/Shared%20Documents/General/Implementation/11.%20Technology/RICEFW/10%20RICEFW%20Inbox/S4HANA_EMS_INTERFACE.pptx?d=w963c2261f0d242cd9d5d6bb1d87a89f3&csf=1&web=1&e=T6QlsI,,Mohit Moreshwar Fating,,03.Processed,FPRI0188,,,,2024-04-25 07:31:39
01. IAO ERP,528.0,1362.0,DC-050-500- WBS Conversion,,03. FPR,03.R3,Shane Bethune,Matthew Reoberts,"01.IP - Intel Product
02.IF - Intel Foundry",Bharath PLVN,03.Conversion,Prabesh Acharya,Conversion of ECC project hierarchy (WBS element master data) to S/4HANA project hierarchy.,,,DC-050-500,R3 Design Sprint 3,01.Deloitte,01.Deloitte,02.Aligned with GPO,https://intel.sharepoint.com/:p:/r/sites/inteldeloitteiao/_layouts/15/Doc.aspx?sourcedoc=%7BF6660DAC-BD94-468F-8496-474DC6EAD11D%7D&file=WBS_%20CONVERSION_RICEFW%20Intake%20form_v1.0.pptx&action=edit&mobileredirect=true,,Mohit Moreshwar Fating,,03.Processed,FPRC0174,,,,2024-04-25 07:31:39
01. IAO ERP,529.0,1363.0,DC-050-340-IDM-USID-0485-FPR,,03. FPR,03.R3,Shane Bethune,Matthew Reoberts,"01.IP - Intel Product
02.IF - Intel Foundry",Bharath PLVN,06.Workflow,Prabesh Acharya,Project budget approval workflow (Capex),,,DC-050-340,R3 Design Sprint 3,01.Deloitte,01.Deloitte,02.Aligned with GPO,https://intel.sharepoint.com/:p:/r/sites/inteldeloitteiao/Shared%20Documents/General/Implementation/11.%20Technology/RICEFW/10%20RICEFW%20Inbox/WBS_Workflow.pptx?d=wea0146b2d490499487876c5093528a26&csf=1&web=1&e=C3b3vZ,,Mohit Moreshwar Fating,"""07/08 : Object not ready for RICEF Intake as per FPR team. Status changed to ""pending alignment with GPO""

06/21/2024: SAP has provided an effort size of 18 days for an SAP Dev solution instead of building a custom Fiori App. We need to wait to check final solution, this could be cancelled if SAP solution is agreed. No ETA for this confirmation yet.""",03.Processed,"FPRW0445_IP, FPRW0445_IF",,,,2024-04-25 07:31:39
01. IAO ERP,530.0,1364.0,IP O-030-010-0002,,05. OTC IP,03.R3,Shelly Lafree,,01.IP - Intel Product,Kevin A Brown,04.Enhancement,Ravi Vishwanathan,Determine CDD in sales order at schedule line level based on MAD received from BY,,,O-030-010,R3 Design Sprint 6,01.Deloitte,01.Deloitte,00.Draft,https://intel.sharepoint.com/:p:/r/sites/inteldeloitteiao/_layouts/15/Doc.aspx?sourcedoc=%7B043092F2-DC3A-409E-89A9-CD988100E933%7D&file=Console%20ID_530_IP_Determine%20CDD%20in%20sales%20order%20at%20schedule%20line%20level%20based%20on%20MAD%20recieved%20from%20BY.pptx&action=edit&mobileredirect=true,,Sindhuja Gangireddy,"Cancelled
NA, This feature is part of the standard BY Adapter itself.",01.inactive,,,,,2024-05-05 23:48:14
01. IAO ERP,531.0,1365.0,,,07. FTS IF,03.R3,Shamin A Shirodkar,Eugene Celis,02.IF - Intel Foundry,Steffanie Maxey,02.Interface,Rudra Sengupta,Interface - Open Production Orders from S4 to ECA,,,PLB-020-040,R3 Design Sprint 4,01.Deloitte,01.Deloitte,02.Aligned with GPO,https://intel.sharepoint.com/:p:/r/sites/inteldeloitteiao/Shared%20Documents/General/Implementation/11.%20Technology/RICEFW/10%20RICEFW%20Inbox/PLB-020-040_FTS_IF_Interface%20Open%20Production%20Orders%20from%20S4%20to%20ECA.pptx?d=w9bec236f6ac542cba8e16d2ada347c2f&csf=1&web=1&e=Wg4ffo,,Ashwin K S,Re-classified to analytics team (ECA). Tables to be replicated shared with Analytics team,01.inactive,,,,,2024-04-29 13:57:45
01. IAO ERP,532.0,1366.0,,,07. FTS IF,03.R3,Shamin A Shirodkar,Eugene Celis,02.IF - Intel Foundry,Steffanie Maxey,02.Interface,Rudra Sengupta,Interface - Open Planned Orders from S4 to ECA,,,PLB-020-040,R3 Design Sprint 4,01.Deloitte,01.Deloitte,02.Aligned with GPO,https://intel.sharepoint.com/:p:/r/sites/inteldeloitteiao/Shared%20Documents/General/Implementation/11.%20Technology/RICEFW/10%20RICEFW%20Inbox/PLB-020-040_FTS_IF_Interface%20Open%20Planned%20Orders%20from%20S4%20to%20ECA.pptx?d=wa90f03f8b17547059aee2a9056af13e9&csf=1&web=1&e=jzFNJG,,Ashwin K S,Re-classified to analytics team (ECA). Tables to be replicated shared with Analytics team,01.inactive,,,,,2024-04-29 13:57:45
01. IAO ERP,533.0,1367.0,,,07. FTS IF,03.R3,Shamin A Shirodkar,Eugene Celis,02.IF - Intel Foundry,Steffanie Maxey,03.Conversion,Rudra Sengupta,Conversion - Open Production Orders,,,M-080-080,R3 Design Sprint 4,01.Deloitte,01.Deloitte,02.Aligned with GPO,https://intel.sharepoint.com/:p:/r/sites/inteldeloitteiao/Shared%20Documents/General/Implementation/11.%20Technology/RICEFW/10%20RICEFW%20Inbox/M-080-080_FTS_Conversion%20Program%20for%20Open%20Production%20Orders.pptx?d=waa1e5963441b4800828364d47a6cfae2&csf=1&web=1&e=cBiOsk,,Ashwin K S,"Approved
05/09 : Intake process completed. Data Conversion team to work with FTS on clarifications",03.Processed,FTSC0199,,,,2024-04-29 13:57:45
01. IAO ERP,534.0,1368.0,,,07. FTS IF,03.R3,Shamin A Shirodkar,Eugene Celis,02.IF - Intel Foundry,Steffanie Maxey,02.Interface,Rudra Sengupta,Interface - Routings from S4 to Integration Layer,,,M-090-110,R3 Design Sprint 4,01.Deloitte,01.Deloitte,02.Aligned with GPO,https://intel.sharepoint.com/:p:/r/sites/inteldeloitteiao/Shared%20Documents/General/Implementation/11.%20Technology/RICEFW/10%20RICEFW%20Inbox/M-090-110_FTS_IF_Interface%20Routings%20from%20S4%20to%20Integration%20Layer.pptx?d=w7e94dfe47caa41dbae91dc0c7622e499&csf=1&web=1&e=ASqUFC,,Ashwin K S,"Approved
06/06: intake Processed 
05/09 : RCIEFW Status on Hold - Integration Layer decision pending",03.Processed,FTSI0314,,,,2024-04-29 13:57:45
01. IAO ERP,535.0,1369.0,,,07. FTS IF,03.R3,Shamin A Shirodkar,Eugene Celis,02.IF - Intel Foundry,Steffanie Maxey,02.Interface,Rudra Sengupta,Interface - Production Versions from S4 to Integration Layer,,,M-090-110,R3 Design Sprint 4,01.Deloitte,01.Deloitte,02.Aligned with GPO,https://intel.sharepoint.com/:p:/r/sites/inteldeloitteiao/Shared%20Documents/General/Implementation/11.%20Technology/RICEFW/10%20RICEFW%20Inbox/M-090-110_FTS_IF_Interface%20Production%20Versions%20from%20S4%20to%20Integration%20Layer.pptx?d=w04aa841adbb040eb8d311b4246b9ba9b&csf=1&web=1&e=6hxSsY,,Ashwin K S,"Approved
06/06: intake Processed 
05/09 : RCIEFW Status on Hold - Integration Layer decision pending",03.Processed,FTSI0313,,,,2024-04-29 13:57:45
01. IAO ERP,542.0,1370.0,M-150-190,,09A. Master Data,03.R3,Rebecca Verette,Jayant Kashikar,02.IF - Intel Foundry,Candice S Linnell,03.Conversion,Lilibeth Lejarde,Material Master-Basic Data- (including description) Views,,,M-150-190,,01.Deloitte,01.Deloitte,02.Aligned with GPO,https://intel.sharepoint.com/:p:/r/sites/inteldeloitteiao/Shared%20Documents/General/Implementation/11.%20Technology/RICEFW/50%20Archive/Intake%20Form%20Archived/369-M-150-190_DATA_Material_Master_Basic_Data_conversion_intake_Form_v1.0.pptx?d=wf59e97a28bf142718b8e6a79bdaaf5a8&csf=1&web=1&e=HH0d2C,,Krishna Pasupuleti,05/14: Intake Complete,03.Processed,DATC0222,,,,2024-05-02 13:56:23
01. IAO ERP,543.0,1371.0,M-150-190,,09A. Master Data,03.R3,Rebecca Verette,Jayant Kashikar,02.IF - Intel Foundry,Candice S Linnell,03.Conversion,Lilibeth Lejarde,Material Master-Alt UOM,,,M-150-190,,01.Deloitte,01.Deloitte,02.Aligned with GPO,https://intel.sharepoint.com/:p:/r/sites/inteldeloitteiao/Shared%20Documents/General/Implementation/11.%20Technology/RICEFW/50%20Archive/Intake%20Form%20Archived/370-M-150-190_DATA_Material_Master_Alt_UOM_intake_Form_v1.0%20.pptx?d=w8ec4e73d988e4e5aa7a8dc82f49bac66&csf=1&web=1&e=o88Lx4,,Krishna Pasupuleti,05/14: Intake Complete,03.Processed,DATC0069,,,,2024-05-02 13:56:23
01. IAO ERP,544.0,1372.0,M-150-190,,09A. Master Data,03.R3,Rebecca Verette,Jayant Kashikar,02.IF - Intel Foundry,Candice S Linnell,03.Conversion,Lilibeth Lejarde,Material Master-Plant Data/Storage Views,,,M-150-190,,01.Deloitte,01.Deloitte,02.Aligned with GPO,https://intel.sharepoint.com/:p:/r/sites/inteldeloitteiao/Shared%20Documents/General/Implementation/11.%20Technology/RICEFW/50%20Archive/Intake%20Form%20Archived/371-M-150-190_DATA_Material_Master_Plant_data_storage_view_Intake_Form_v1.0%20.pptx?d=w717f9855f0e94bb9891cb20165ecd0b9&csf=1&web=1&e=GT0fDK,,Krishna Pasupuleti,05/14: Intake Complete,03.Processed,DATC0070,,,,2024-05-02 13:56:23
01. IAO ERP,545.0,1373.0,M-150-190,,09A. Master Data,03.R3,Rebecca Verette,Jayant Kashikar,02.IF - Intel Foundry,Candice S Linnell,03.Conversion,Lilibeth Lejarde,Material Master-MRP View,,,M-150-190,,01.Deloitte,01.Deloitte,02.Aligned with GPO,https://intel.sharepoint.com/:p:/r/sites/inteldeloitteiao/Shared%20Documents/General/Implementation/11.%20Technology/RICEFW/50%20Archive/Intake%20Form%20Archived/372-M-150-190_DATA_Material_Master_MRP_View_Intake_Form_v1.0.pptx?d=wcb02ca88a57047dc96751972ed7c5894&csf=1&web=1&e=XEBalb,,Krishna Pasupuleti,05/14: Intake Complete,03.Processed,DATC0071,,,,2024-05-02 13:56:23
01. IAO ERP,546.0,1374.0,M-150-190,,09A. Master Data,03.R3,Rebecca Verette,Jayant Kashikar,02.IF - Intel Foundry,Candice S Linnell,03.Conversion,Lilibeth Lejarde,Material Master-Purchasing View and PO Text,,,M-150-190,,01.Deloitte,01.Deloitte,02.Aligned with GPO,https://intel.sharepoint.com/:p:/r/sites/inteldeloitteiao/Shared%20Documents/General/Implementation/11.%20Technology/RICEFW/50%20Archive/Intake%20Form%20Archived/373-M-150-190_DATA_Material_Master_Purchasing_View_PO_Text_Intake_Form_v1.0.pptx?d=w1637135bfbeb4d99b3acbf0937a4e7b1&csf=1&web=1&e=BzIrFZ,,Krishna Pasupuleti,05/14: Intake Complete 06/25-Cancelled,03.Processed,DATC0072,,,,2024-05-02 13:56:23
01. IAO ERP,547.0,1375.0,M-150-190,,09A. Master Data,03.R3,Rebecca Verette,Jayant Kashikar,02.IF - Intel Foundry,Candice S Linnell,03.Conversion,Lilibeth Lejarde,Material Master-Warehouse Mgmt Views,,,M-150-190,,01.Deloitte,01.Deloitte,02.Aligned with GPO,https://intel.sharepoint.com/:p:/r/sites/inteldeloitteiao/Shared%20Documents/General/Implementation/11.%20Technology/RICEFW/50%20Archive/Intake%20Form%20Archived/374-M-150-190_DATA_Material_Master_Warehouse_Management_view_Intake_Form_v1.0.pptx?d=wb1c062301d6647ada176a10f2b82ae9a&csf=1&web=1&e=kqf6O2,,Krishna Pasupuleti,05/14: Intake Complete,03.Processed,DATC0073,,,,2024-05-02 13:56:23
01. IAO ERP,548.0,1376.0,M-150-190,,09A. Master Data,03.R3,Rebecca Verette,Jayant Kashikar,02.IF - Intel Foundry,Candice S Linnell,03.Conversion,Lilibeth Lejarde,Material Master-Sales Org Views and Sales Text,,,M-150-190,,01.Deloitte,01.Deloitte,02.Aligned with GPO,https://intel.sharepoint.com/:p:/r/sites/inteldeloitteiao/Shared%20Documents/General/Implementation/11.%20Technology/RICEFW/50%20Archive/Intake%20Form%20Archived/375-M-150-190_DATA_Material_Master_Sales_Org_view_Sales_text_Intake_Form_v1.0%20.pptx?d=we191544467dc4cfdbb7fea8cbfcc7b58&csf=1&web=1&e=ImUf2O,,Krishna Pasupuleti,05/14: Intake Complete,03.Processed,DATC0074,,,,2024-05-02 13:56:23
01. IAO ERP,549.0,1377.0,M-150-190,,09A. Master Data,03.R3,Rebecca Verette,Jayant Kashikar,02.IF - Intel Foundry,Candice S Linnell,03.Conversion,Lilibeth Lejarde,Material Master-Accounting  & Costing view,,,M-150-190,,01.Deloitte,01.Deloitte,02.Aligned with GPO,https://intel.sharepoint.com/:p:/r/sites/inteldeloitteiao/Shared%20Documents/General/Implementation/11.%20Technology/RICEFW/50%20Archive/Intake%20Form%20Archived/376-M-150-190_DATA_Material_Master_Accounting_Costing_view_Intake_Form_v1.0.pptx?d=w64c72ddff764459b8519741e63b0f282&csf=1&web=1&e=ayIhfo,,Krishna Pasupuleti,05/14: Intake Complete,03.Processed,DATC0215,,,,2024-05-02 13:56:23
01. IAO ERP,550.0,1378.0,M-150-190,,09A. Master Data,03.R3,Rebecca Verette,Jayant Kashikar,02.IF - Intel Foundry,Candice S Linnell,03.Conversion,Lilibeth Lejarde,Material Master-Classification View,,,M-150-190,,01.Deloitte,01.Deloitte,02.Aligned with GPO,https://intel.sharepoint.com/:p:/r/sites/inteldeloitteiao/Shared%20Documents/General/Implementation/11.%20Technology/RICEFW/50%20Archive/Intake%20Form%20Archived/377-M-150-190_DATA_Material_Master_Classification_view_Intake_Form_v1.0.pptx?d=w70fd0b21dcd8472ca9d4ceaa3b15a84b&csf=1&web=1&e=53Y7Yr,,Krishna Pasupuleti,"05/14: Intake Complete 06/27:getting data by 6/17,",03.Processed,DATC0076,,,,2024-05-02 13:56:23
01. IAO ERP,551.0,1379.0,M-150-190,,09A. Master Data,03.R3,Rebecca Verette,Jayant Kashikar,02.IF - Intel Foundry,Candice S Linnell,03.Conversion,Lilibeth Lejarde,Material Master-Workscheduling view,,,M-150-190,,01.Deloitte,01.Deloitte,02.Aligned with GPO,https://intel.sharepoint.com/:p:/r/sites/inteldeloitteiao/Shared%20Documents/General/Implementation/11.%20Technology/RICEFW/50%20Archive/Intake%20Form%20Archived/378-M-150-190_DATA_Material_Master_Work_scheduling_view_Intake_Form_v1.0.pptx?d=w5360cd3cb2a24bc39c061365e82f6422&csf=1&web=1&e=WnB1tz,,Krishna Pasupuleti,05/14: Intake Complete,03.Processed,DATC0213,,,,2024-05-02 13:56:23
01. IAO ERP,552.0,1380.0,"GT-020-030,GT-020-020",,04. OTC IF,02.R2,"Jill Matalon (IF), Shelly LaFree (IP)",,03.Shared Services,alejandro.perez.espinoza@intel.com,03.Conversion,Eoin Dick,Conversion program for migrating HS/Commodity code classification data,,,"GT-020-030,GT-020-020",,01.Deloitte,01.Deloitte,02.Aligned with GPO,https://intel.sharepoint.com/:p:/r/sites/inteldeloitteiao/Shared%20Documents/General/Implementation/11.%20Technology/RICEFW/10%20RICEFW%20Inbox/GTS_RICEFW%20Intake%20Form_V2.0_%20HS%20Conversion%20Program.pptx?d=wa75e483dd5124498af9bfb3ced069934&csf=1&web=1&e=a1bV60,Ryan Le,,"05/16: Intake Complete
Reviewed on 5/8, but need to be reviewed again on Monday 5/13",03.Processed,OTCC0233,,,,2024-05-03 06:42:13
01. IAO ERP,553.0,1381.0,GT-020-040,,04. OTC IF,02.R2,"Jill Matalon (IF), Shelly LaFree (IP)",,03.Shared Services,alejandro.perez.espinoza@intel.com,03.Conversion,Eoin Dick,Conversion program for migrating ECCN classification data,,,GT-020-040,R3 Design Sprint 8,01.Deloitte,01.Deloitte,02.Aligned with GPO,https://intel.sharepoint.com/:p:/r/sites/inteldeloitteiao/Shared%20Documents/General/Implementation/11.%20Technology/RICEFW/10%20RICEFW%20Inbox/GTS_RICEFW%20Intake%20Form_V2.0_%20ECCN%20Conversion%20Program.pptx?d=w581624697f434e6aa27c23889e80a2af&csf=1&web=1&e=24y72X,Ryan Le,,"05/16: Intake Complete
Reviewed on 5/8, but need to be reviewed again on Monday 5/13",03.Processed,OTCC0232,,,,2024-05-03 06:42:13
01. IAO ERP,554.0,1382.0,GT-040-040,,04. OTC IF,02.R2,"Jill Matalon (IF), Shelly LaFree (IP)",,03.Shared Services,alejandro.perez.espinoza@intel.com,03.Conversion,Eoin Dick,Conversion Program for Transferring License data from Legacy system to SAP GTS E4H,,,GT-040-040,R3 Design Sprint 8,01.Deloitte,01.Deloitte,02.Aligned with GPO,https://intel.sharepoint.com/:p:/r/sites/inteldeloitteiao/Shared%20Documents/General/Implementation/11.%20Technology/RICEFW/10%20RICEFW%20Inbox/GTS_RICEFW%20Intake%20Form_V2.0_%20License%20Conversion%20Program.pptx?d=wcf143374743a44bcae7bd59e27c00b3b&csf=1&web=1&e=qDSg2E,Ryan Le,,"05/16: Intake Complete
Reviewed on 5/8, but need to be reviewed again on Monday 5/13",03.Processed,OTCC0231,,,,2024-05-03 06:42:13
01. IAO ERP,555.0,1383.0,LO-180-010-070,,05. OTC IP,03.R3,Randy Eck,Shiuk Ming Loke,"01.IP - Intel Product
02.IF - Intel Foundry",Ramesh Govindan,04.Enhancement,"maheshgowda@deloitte.com, Ruben David Alvarez Carroz","TM:RICEFW1: OTC IP​
 1. Build two custom fields- “Back-Dated Order” flag & “Ship-Ahead Window“ fields in the Freight Unit document for Ops reporting and future TM functionality.​​
 2. Populate the two custom fields: Copy Ship-Ahead values from Sales Order into Freight Unit document to include the value (in days), enabling TM to account for additional transportation days while planning. ​​
 3. Populate DG Indicator in the Freight unit: The attribute BATTERY_HAZMAT_COMPLIANCE_CD, which encapsulates the DG material classification, must be copied to the existing std field of TM Freight unit DG indicator ​
 4. Identify TM eligible deliveries: Additional attribute ""Material type"" in addition to standard filters Shipping point, Delivery type & Shipping conditions filter​
RICEFW 2: FTS IF & IP​
1. FTS IP- DG indicator from the delivery header text to be transmitted to the existing DG field in Freight Unit",,,LO-180-010,R3 Design Sprint 3,01.Deloitte,01.Deloitte,02.Aligned with GPO,https://intel.sharepoint.com/:p:/r/sites/inteldeloitteiao/Shared%20Documents/General/Implementation/11.%20Technology/RICEFW/10%20RICEFW%20Inbox/R3_IP_IF-LOGISTICS_TM_LO-180-010-070%20TM%20Freight%20unit%20update.pptx?d=w587ee231aec14479ba5111d76203179a&csf=1&web=1&e=wWnnJQ,,Dawa Sherpa,"06:21: Intake processed on 06/21
These custom fields enhancements were approved for R2 IF. The only delta is the DG indicator update from Delivery Header Text for FTS IF & IP

5/28: Maddie following up with Deloitte LOG team on the status and the notes.

6/5: Approved by GPO. SAP feedback received.",03.Processed,"LOGE0405_IP,
LOGE0405_IF",,,,2024-05-21 03:40:44
01. IAO ERP,556.0,1384.0,LI-030-030-010,,06. PTP,03.R3,Randy Eck,Syed S Nawaz,"01.IP - Intel Product
02.IF - Intel Foundry",Kumar Vytla,04.Enhancement,"maheshgowda@deloitte.com, Ruben David Alvarez Carroz","TM: PTP(IF/IP) BADI enhancement to add additional filters shipping condition & incoterm along with standard control key filters Purch org, Purch group, Order type to transfer the PO(Capital PO’s) to TM",,,LI-030-030,R3 Design Sprint 8,01.Deloitte,01.Deloitte,02.Aligned with GPO,https://intel.sharepoint.com/:p:/r/sites/inteldeloitteiao/Shared%20Documents/General/Implementation/11.%20Technology/RICEFW/10%20RICEFW%20Inbox/R3_IP_LOGISTICS_TM_LO-180-010-070_RICEFW%20Intake%20form.pptx?d=w95cc5548ed0e48a68a45d0bebd98b3f9&csf=1&web=1&e=DmjF0d,,Dawa Sherpa,"07/17: Intake processed on 07/15
This object is yet to be presented in the intake.
07/09: Approved by Dan Mahoney as interim GPO.",03.Processed,"LOGE0451_IP, LOGE0451_IF",,,,2024-05-05 23:53:49
