Approved Release [PMO Only],Intercepting Testing Cycle,Change ID (AC),Approved/Denied,Next Steps,Program Scope,Requested Releases,"Priority (Very High, High, Medium, Low)",Requestor Team*,Requestor Sub-team*,Logistics?,Impacted Towers/Horizontals (Multiple Selection),Change Request Owner,Change Request IT Owner For The Function,Project Manager,Related Open Design Topic,Related CR,Related Risk/Issue [RAID #],Related KDD [RAID #],ServiceNow Reference,ServiceNow Delivery Status,B-App IAPM ID,B-App IAPM Name,Special Projects,Change Title*,Change Description,Rationale for the Change,Impact to Schedule,Ready for PMO Review?,Core vs Non-Core Functionality,Link to Approval Email,Link to Change Request Review Deck,CR Category,Type of Change [For Program Releases - R1-R5],Impacted L3's,Will have BPM Standards (BIC/WIKI) Updates?,Complexity,Technical Effort Estimation,Design Complexity Value,Dollar Impact (US Design Hours),Dollar Impact ($),Functional Effort,CDI Tech Effort [SCP Build],PDH Tech Effort [SCP Build] hrs,BY Tech Effort [SCP Build] hrs,ECA Tech Effort [SCP Build] hrs,Config Effort [ERP Build],Tech Effort [ERP Build],ECA Effort [ERP Build],Data Migration [ERP Build],Security Effort [ERP Build],BApps Tech Effort,Total SCP Tech Effort,Total ERP Tech Effort,ERP Dev Team [For Build CR's Only],Added/Pushed Object ID's?,Dev Team of New Object,Count of New Objects,Added Object ID's,RICEFW Console ID,S4 Object Tracker,Count of New S4 Objects,Deloitte ECA,Count of New Deloitte ECA Objects,Intel ECA,Count of New Intel ECA Objects,Count of New ECA Objects,SCP - RICEFW,Count of SCP RICEFW,SCP - PDH,Count of SCP - PDH,Count of New SCP Objects,Changed Build Objects,Count of Changed Objects,Changed S4 RICEFW's,Count of Changed S4,Changed ECA ID's,Count of Changed ECA,Changed SCP ID's,Count of Changed SCP,Descoped RICEFW ID's,Replacement Object,Planned FUT Complete date,Count of Descoped RICEFW's,Change Status,Need Core Leadership approval? [PMO],Need MRC Approval? [PMO],Review Date with Change Ingestion,Notes from Change Ingestion,2nd Review Date with CCB,Notes from 2nd CCB Review,Actual Review Date with CL [Stage 1],Notes from Core Leadership Review [Stage 1],Actual Review Date with CL [Stage 2],Notes from Core Leadership Review [Stage 2],Review Date with MRC,Notes From MRC Review,Comments for Rejection/Deferral,Design vs Build,Approval Level,Leadership Approval Date,Month of Approval,Final Month of Approval,Month of Creation,Creation Date,Days Open,Aging,Created By,Reconciliation Done?,For Future Release?,Completion Status (Build CR),Completion Status (Object ID),Completion Status (Manual),Overall Completion,Added to Build CR Tracker,Applicable for R4
,,INT-CR1036,Cancelled,,ERP,R3 (Release 3),Medium,05. OTC IP,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,0.0,N/A,,,0.0,,,,0.0,,0.0,,0.0,0.0,,0.0,,0.0,0.0,N/A,0.0,,0.0,,0.0,,0.0,,,,0.0,16. Cancelled by Requestor Tower,,,,,,,,,,,,,,,Not Assigned,,Not Approved,#INVALID OPERATION,"08, 2025",2025-08-08 00:00:00,0.0,< 15 Days,adshinde@deloitte.ca,,No,,No Objects,,In Progress,No,
R3 (Feb 2027),R3 ITC1*,INT-CR1037,Approved,"Presenter: Naren, David Park",SCP,R3 (Release 3),High,07. FTS IF,7.13 FTS IF - IF BE Supply Planning,,07. FTS IF,john.p.heiney@intel.com,FTS (SCP IF) — John Heiney,FTS IF - Haritha Komma,,NA,NA,NA,,,,,,Build HB Loader capability in IF-PDH and integrate with MARS,"Build the Heartbeat (HB) Loader Capability in IF PDH and Integrate with MARS 
For Straddle integrate with SPAN","Heartbeat or “HB” is the tool used when processing the “Outs” schedule (for example, test outs, etc.) for products, which drive Assembly “Ins”.
The primary purpose of the tools is to translate the schedules from PDRS (Product Device Rev Step, also known as L3 or BOM), and HRI (Human Readable Identifier) to the appropriate Main Cell and Sub Cell","Delivery date – Feb’ 2026 for ITC 2
The R3 build schedule is completely packed and work can't start until WW02'2026",No,,,https://intel.sharepoint.com/:p:/r/sites/inteldeloitteiao/_layouts/15/Doc.aspx?sourcedoc=%7B81236286-FDF5-44A7-BF1B-C8B0AF92D659%7D&file=Change%20ID_FTS%20-IF_HB%20loader.pptx&action=edit&mobileredirect=true,,1. Process Scope / Design Change,,No,,Medium,0.0,,,,,,,,,,,,,,0.0,0.0,N/A,No,,0.0,TBD,,,0.0,,0.0,,0.0,0.0,,0.0,SCPIFSPPDH0168,1.0,1.0,N/A,0.0,,0.0,,0.0,,0.0,N/A,,,0.0,10. OSC/CL Approved (end status),Yes,No,2025-08-14 00:00:00,"o	These changes are for manufacturing automation and will be used for straddle and for end state.
o	Only impact is to PDH from an effort perspective",,,2025-08-26 00:00:00,"•	HB Loader, a tool used primarily in the backend assembly, test, and finish areas of Intel Foundry. Its main function is to translate product device references into factory-executable instructions for assembly and testing. The current system resides in SPAN, and there is a plan to migrate it into the Intel Foundry Planning Data Hub and integrate it with MARS to support factory teams exclusively.
•	Concerns were raised about the architectural implications of this move. The Planning Data Hub, originally designed as a clean, foundational planning data store, risks becoming overloaded with factory scheduling and preprocessing functions, potentially replicating the messy architecture of the legacy SPAN system. The split of scheduling functionality across different teams and systems (TD, SMDS, and Planning Data Hub) was highlighted as a challenge. It was noted that the initial idea to place this functionality inside production scheduling was rejected, leading to the current plan for IFPDH integration. The group agreed on the need to bring this topic to the IF Architecture Committee for review to ensure a long-term, clean solution rather than a quick fix.
•	HB Loader translates product device references to factory execution instructions.
•	Migration from SPAN to IF PDH is planned due to rejection of production scheduling ownership. Architectural concerns about overloading the Planning Data Hub were expressed.
•	Agreement to pursue architecture committee review before proceeding further. 
•	AR - Sunil Parida - Sync with Paul Whitlock for assistance with scheduling this CR at the WW35.3 IF Architecture Committee for review.
•	AR - Paul Whitlock - Sync with Mike Lange regarding next steps following the WW35.3 IF Architecture Committee review.
•	AR - Sunil Parida - Conduct high-level sizing for MPDS to determine delivery feasibility if the integration is approved.
•	AR - Rebecca Verette - Revisit the supply chain process for non-standard enhancements and follow up with Roman regarding the special review and approval mechanism.",2025-09-12 00:00:00,"•	Originally rejected by both the production scheduling and factory automation teams. This was reintroduced due to lack of viable alternatives. 
•	The IF Architecture Committee, including Rebecca Verette and Roman Vorel ww37.3, agreed to place it in PDH despite capacity constraints.
•	HB loader is critical for execution, not planning, and will be implemented in PDH.  HB loader t is essential for execution and sits between planning and execution. 
•	This feature will miss ITC1 and is scheduled for ITC2. Team to provide exception handling for ITC 1 due to the absence of the HB loader integration. 
•	No additional budget is needed if the timeline specified in the CR is achieved.
•	Rick Antonellis expressed strong reservations but acknowledged the necessity and lack of alternatives.
•	Decision: Approved",,,,Design,CL/OSC,2025-09-12 00:00:00,"08, 2025","08, 2025","08, 2025",2025-08-10 00:00:00,0.0,< 15 Days,web-form@smartsheet.com,,No,,No Objects,,In Progress,No,
R2 (Hypercare),R2 Hypercare,INT-CR1039,Approved,,ERP,R2 Hypercare,Medium,04. OTC IF,4.8 OTC IF - EWM,Yes,"04. OTC IF
05. OTC IP",junior.milan@intel.com,,OTC IF - Angela Laskowski,,,,,INC14824783,Delivered,,,,MBB Label Format Change,"Current FS design direction provided to Deloitte was for YYMM, when the actual Factory Requirement was YYWW",Align label requirements with Factory labeling requirements,No,No,,,https://intel.sharepoint.com/:p:/r/sites/inteldeloitteiao/Shared%20Documents/General/Implementation/01.%20PMO/05.%20Scope%20and%20Change%20Control/Change%20Control/Change%20Request%20Decks/OTC/INT-CR1039_IF_R2_MBB%20Label%20Change.pptx?d=w6cacdbbb0b1b4feb97a719c67e065a93&csf=1&web=1&e=sC0IYA,,4. Change to Existing RICEFW / ECA/ Build Object,,No,Low,,1.0,,,,,,,,,12.0,,,,,0.0,12.0,N/A,No,,0.0,N/A,,,0.0,,0.0,,0.0,0.0,,0.0,,0.0,0.0,LOGI0278,1.0,LOGI0278,1.0,,0.0,,0.0,N/A,,,0.0,04. Tower/Horizontal Approved (end status),No,No,2025-08-13 00:00:00,Approved as changes are already in production. Ad hoc meeting with Uzma. Recording uploaded.,,,,,,,,,,Build,Tower,2025-08-13 00:00:00,"08, 2025","08, 2025","08, 2025",2025-08-11 00:00:00,0.0,< 15 Days,imme.sandweg@intel.com,,No,,No Objects,,In Progress,No,
R2 (Hypercare),R2 Hypercare,INT-CR1040,Approved,,"Other (Boundary Apps, Data Transformation)",R2 Hypercare,Medium,10. Analytics,10.4 Analytics - OTC IF,,"04. OTC IF
10. Analytics",nitin.p.jain@intel.com,Data & Analytics - Rebecca Verette,,,NA,IAODTM-6776,,Standalone,Delivered,,,,if_supply_chain.warehouse_management_base.delivery_note_handling_unit.external_handling_unit_weight_uom_cd is showing incorrect Unit of Measure (UOM).,"Tare or packing material UOM (VEKP.GEWEI) is currently mapped as the UOM Code for shipment gross weight, which is incorrect. Correct gross weight for goods shipped is VEKP.GEWEI_MAX. FSSD Packing slip will have incorrect data for new S4 shipments and custom clearance might be a problem. Both historical and S4 mapping needs to be corrected.","Tare or packing material UOM (VEKP.GEWEI) is currently mapped as the UOM Code for shipment gross weight, which is incorrect. Correct gross weight for goods shipped is VEKP.GEWEI_MAX. FSSD Packing slip will have incorrect data for new S4 shipments and custom clearance might be a problem. Both historical and S4 mapping needs to be corrected.",None,No,,,https://intel.sharepoint.com/:p:/r/sites/inteldeloitteiao/Shared%20Documents/General/Implementation/01.%20PMO/05.%20Scope%20and%20Change%20Control/Change%20Control/Change%20Request%20Decks/Boundary%20Apps/CR-INT-Build-CR1040%20-%20Incorrect%20UOM%20in%20Delivery%20Note%20Handling%20Unit.pptx?d=wf4d576d13d3d43c2a1ec55b3f4c9205e&csf=1&web=1&e=tSZrQN,,4. Change to Existing RICEFW / ECA/ Build Object,,,,,0.0,,,,,,,,,,,,,,0.0,0.0,N/A,No,,0.0,N/A,,,0.0,,0.0,,0.0,0.0,,0.0,,0.0,0.0,LOGV042_FTSIF,1.0,,0.0,LOGV042_FTSIF,1.0,,0.0,N/A,N/A,,0.0,04. Tower/Horizontal Approved (end status),No,No,2025-09-05 00:00:00,Approved in Hypercare CR meeting with OSC,,,,,,,,,,Build,Tower,2025-09-05 00:00:00,"09, 2025","09, 2025","08, 2025",2025-08-11 00:00:00,0.0,< 15 Days,sumitsharma9@deloitte.com,,No,,No Objects,,In Progress,No,
,,INT-CR1041,New,,ERP,R3 (Release 3),Medium,09A. Master Data,9A.2 Master Data - BOM,,06. PTP,jayant.kashikar@intel.com,Data & Analytics - Rebecca Verette,Data - Julie Fawdington,,N/A,N/A,N/A,,,,,,S/4 BOM Manual Changes Impact on Automated integration of BOM from SPEED to S/4,S/4 BOM Manual Changes Impact on Automated integration of BOM from SPEED to S/4,PTP requested to have access to make changes in BOM directly in S/4. This is needed as SPEED has no capability to make changes for future date.,N/A,No,Non-Core,,N/A,,1. Process Scope / Design Change,,Maybe,,Medium,0.0,,,,,,,,,,,,,,0.0,0.0,N/A,,,0.0,TBD,,,0.0,,0.0,,0.0,0.0,,0.0,,0.0,0.0,N/A,0.0,,0.0,,0.0,,0.0,,,,0.0,00. Identified,,,,,,,,,,,,,,Design,Not Assigned,,Not Approved,#INVALID OPERATION,"08, 2025",2025-08-12 00:00:00,239.0,> 30 Days,web-form@smartsheet.com,,No,,No Objects,,N/A,No,
R3 (Feb 2027),,INT-CR1042,Approved,,ERP,R3 (Release 3),Medium,05. OTC IP,5.8 OTC IP - EWM,Yes,"05. OTC IP
10. Analytics",Surendra Julury,,,,,,,,,,,,Move the Price variance report to ECA,The price variance report for physical inventory is not needed in real-time and can be moved to ECA as this is a historical analysis of data.,The price variance report for physical inventory is not needed in real-time and can be moved to ECA as this is a historical analysis of data.,,No,,,,,2. New RICEFW / ECA / Build Object,,,,,0.0,,,,,,,,,,,,,,0.0,0.0,N/A,Yes,ECA,1.0,OTCPV047,,,0.0,OTCPV047,1.0,,0.0,1.0,,0.0,,0.0,0.0,N/A,0.0,,0.0,,0.0,,0.0,N/A,,,0.0,04. Tower/Horizontal Approved (end status),No,No,2025-09-29 00:00:00,,,,,,,,,,,Other,Tower,2025-09-29 00:00:00,"09, 2025","09, 2025","08, 2025",2025-08-12 00:00:00,0.0,< 15 Days,sjulury@deloitte.com,,No,,Object Missing in OT,,In Progress,No,
R3 (Feb 2027),N/A,INT-CR1043,Approved,,ERP,R3 (Release 3),Medium,05. OTC IP,5.8 OTC IP - EWM,Yes,05. OTC IP,Surendra Julury,,,,,,,,,,,,Cancel the Price variance Report LOGE1213  in SAP,Price Variance Report is moving to SAP and has to be canceled in SAP. Object ID - LOGE1213,Price Variance Report is moving to SAP and has to be canceled in SAP. Object ID - LOGE1213,,No,,https://intel.sharepoint.com/:u:/r/sites/inteldeloitteiao/Shared%20Documents/General/Implementation/01.%20PMO/05.%20Scope%20and%20Change%20Control/Change%20Control/CR%20Approval%20Emails/CR1043/FW%20Approval%20needed-INT-CR1043.msg?csf=1&web=1&e=hiWsVM,,,5. Cancel RICEFW / ECA / Build Object,,,,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,N/A,No,,0.0,N/A,,,0.0,,0.0,,0.0,0.0,,0.0,,0.0,0.0,N/A,0.0,,0.0,,0.0,,0.0,LOGE1213,OTCPV047,,1.0,04. Tower/Horizontal Approved (end status),No,No,2025-09-29 00:00:00,,,,,,,,,,,Other,Tower,2025-09-29 00:00:00,"09, 2025","09, 2025","08, 2025",2025-08-12 00:00:00,0.0,< 15 Days,sjulury@deloitte.com,,No,,No Objects,,In Progress,No,
,,INT-CR1046,Cancelled,,ERP,R3 (Release 3),Medium,05. OTC IP,5.8 OTC IP - EWM,Yes,05. OTC IP,Rahul Shrinivas Kelkar,,,,,,,,,,,,Addition of new field in Shipping instruction in object LOGE1268,New field ATTN To: (Attention to) to be added in shipping instruction output screen and same to be populated in the Shipping instructions table.,New business requirement for addition of New field ATTN To: (Attention to) to be added in shipping instruction output screen and same to be populated in the Shipping instructions table required to mention the contact name.,,No,,,,,4. Change to Existing RICEFW / ECA/ Build Object,,,,,0.0,,,,,,,,,,,,,,0.0,0.0,N/A,,,0.0,,,,0.0,,0.0,,0.0,0.0,,0.0,,0.0,0.0,N/A,0.0,,0.0,,0.0,,0.0,,,,0.0,16. Cancelled by Requestor Tower,,,,,,,,,,,,,Confirmed by Surendra to be cancelled as it is captured in Build CR0688,Build,Not Assigned,,Not Approved,#INVALID OPERATION,"08, 2025",2025-08-12 00:00:00,0.0,< 15 Days,nanaved@deloitte.com,,No,,No Objects,,In Progress,No,
R3 (Feb 2027),N/A,INT-CR1045,Approved,,ERP,R3 (Release 3),High,06. PTP,6.7 PTP - Enable Payments,,06. PTP,Sugandh Gupta,,PTP - Richard Taylor,,,,,,,,,,"Cancel Objects: PTPI1429_IP and PTPI1429_IF Outbound Interface for sending Invoice Release Statuses to SPT/GTT (Global Trade and Tax)System (Descoping)
PTPE0317_IP and PTPE0317_IF","Descoping of below mentioned RICEFW object:
1.  PTPI1429_IP and PTPI1429_IF [Outbound Interface for sending Invoice Release Statuses to SPT/GTT (Global Trade and Tax)System]
2. PTPE0317_IP and PTPE0317_IF [Custom Program to Release the block indicator from the invoice - SAP S/4 HANA IP and IF]","There are two RICEFWs PTPI1428_IP & IF and PTPI1429_IP & IF and these two are merged into one. The requirement is to receive a response from the SPT tool, process it in SAP S/4, and then send the response back to SPT in a synchronous manner. This can all be managed within the same API, so there is no need for a separate RICEFW for sending an outbound message to SPT. So we want to descope outbound interface object i.e. PTPI1429_IP & IF.
2. We  covered requirement of PTPE0317_IP and IF in PTPI0710_IP and IF and we don't need PTPE0317_IP and IF.",N.A.,Yes,,https://intel.sharepoint.com/:u:/r/sites/inteldeloitteiao/Shared%20Documents/General/Implementation/06.%20PTP/3%20Final%20Deliverables/2.%20Build/Sub%20Team%20-%20Enable%20Payment/Mails%20for%20Approval/RICEFW%27s%20Descope%20Approval%20Mail/EXT%20RE%20Request%20for%20GPO%20alignment%20related%20to%20Descoping%20PTPE0317_IP%20%20IF%20and%20PTPI1429_IP%20%20IF%20CR%20ID%20INT-CR1045..msg?csf=1&web=1&e=8mtjjV,,,5. Cancel RICEFW / ECA / Build Object,,,Medium,0.0,2.0,,,,,,,,,,,,,,0.0,0.0,N/A,No,,0.0,N/A,,,0.0,,0.0,,0.0,0.0,,0.0,,0.0,0.0,N/A,0.0,,0.0,,0.0,,0.0,"PTPE0317_IP, PTPE0317_IF, PTPI1429_IP, PTPI1429_IF","PTPI1428_IP, PTPI1428_IF, PTPI0710_IF, PTPI0710_IP",,4.0,04. Tower/Horizontal Approved (end status),No,No,2025-10-29 00:00:00,,,,,,,,,,,Other,Tower,2025-10-29 00:00:00,"10, 2025","10, 2025","08, 2025",2025-08-12 00:00:00,0.0,< 15 Days,suggupta@deloitte.com,,No,,No Objects,,In Progress,No,
,,INT-CR1047,Cancelled,,ERP,R3 (Release 3),Medium,05. OTC IP,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,0.0,N/A,,,0.0,,,,0.0,,0.0,,0.0,0.0,,0.0,,0.0,0.0,N/A,0.0,,0.0,,0.0,,0.0,,,,0.0,16. Cancelled by Requestor Tower,,,,,,,,,,,,,,,Not Assigned,,Not Approved,#INVALID OPERATION,"08, 2025",2025-08-12 00:00:00,0.0,< 15 Days,nanaved@deloitte.com,,No,,No Objects,,In Progress,No,
,,INT-CR1049,Cancelled,,ERP,R3 (Release 3),Medium,05. OTC IP,5.8 OTC IP - EWM,Yes,05. OTC IP,Naved Naved,,,,,,,,,,,,Creation of New Storage location and new disposition code requirement for SCE (Scrap External) and addition of new field in Dynamic Ship to Site matrix,"New Disposition to be created for SCE (Scrap External) and information in Disposition FS's including Static and dynamic disposition FS's, Manual Disposition, Ship Action Queue screen FS and Ship Item Screen FS. New field also to be added in Dynamic disposition Ship to site matrix table.","Given that we have two distinct Scrap Dispositions, 'Scrap External' will be represented as ‘SCE’ and will require configuration of a new storage location. The 'SC' code will continue to be used for in-house scrap disposition, as previously planned. This new disposition type (SCE) must be incorporated into the Static, Dynamic, and Manual Disposition FS documents, as well as any other relevant areas. Additionally, a new column—'Ship to Vendor'—should be added to the Dynamic Ship-to-Site matrix. This field can be utilized by CF/CRO/RP and the newly introduced SCE disposition. Impacted FS: Static disposition FS, Dynamic disposition FS, Manual disposition FS, Ship Action Queue Screen FS, Ship Item Screen FS.",,No,,,,,4. Change to Existing RICEFW / ECA/ Build Object,,,,,0.0,,,,,,,,,,,,,,0.0,0.0,N/A,,,0.0,,,,0.0,,0.0,,0.0,0.0,,0.0,,0.0,0.0,N/A,0.0,,0.0,,0.0,,0.0,,,,0.0,16. Cancelled by Requestor Tower,,,,,,,,,,,,,"Confirmed by Sarah Miller that the tech effort is less than 40 hours. Therefore, the CR will be moved to the Build CR Log as CR0722.",Build,Not Assigned,,Not Approved,#INVALID OPERATION,"08, 2025",2025-08-12 00:00:00,0.0,< 15 Days,nanaved@deloitte.com,,No,,No Objects,,In Progress,No,
,,INT-CR1048,New,,ERP,R3 (Release 3),Medium,09A. Master Data,9A.2 Master Data - BOM,,"07. FTS IF
08. FTS IP
09A. Master Data",llejarde@deloitte.com,,Data - Julie Fawdington,,,,,,,,,,"Update BOM Synchronous response Logic for SPEED, ECM, and Plant-Specific Material Validation in S/4","Update the BOM synchronous response in S/4 to ensure that responses to SPEED and ECM changes are dynamically updated. Additionally, implement component material validation in alignment with the specific requirements of each plant.","Previously, SPEED and ECM teams shared a common response structure for BOM synchronous response. Now, distinct response structures are needed to meet their specific requirements",N/A,No,,,N/A,,4. Change to Existing RICEFW / ECA/ Build Object,,,,,0.0,,,,,,,,,,,,,,0.0,0.0,N/A,,,0.0,,,,0.0,,0.0,,0.0,0.0,,0.0,,0.0,0.0,N/A,0.0,,0.0,,0.0,,0.0,,,,0.0,00. Identified,,,,,,,,,,,,,,Build,Not Assigned,,Not Approved,#INVALID OPERATION,"08, 2025",2025-08-12 00:00:00,239.0,> 30 Days,nagirreddy@deloitte.com,,No,,No Objects,,N/A,No,
,,INT-CR1050,Cancelled,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,0.0,N/A,,,0.0,,,,0.0,,0.0,,0.0,0.0,,0.0,,0.0,0.0,N/A,0.0,,0.0,,0.0,,0.0,,,,0.0,16. Cancelled by Requestor Tower,,,,,,,,,,,,,,,Not Assigned,,Not Approved,#INVALID OPERATION,"08, 2025",2025-08-12 00:00:00,0.0,< 15 Days,nanaved@deloitte.com,,No,,No Objects,,In Progress,No,
,,INT-CR1051,Cancelled,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,0.0,N/A,,,0.0,,,,0.0,,0.0,,0.0,0.0,,0.0,,0.0,0.0,N/A,0.0,,0.0,,0.0,,0.0,,,,0.0,16. Cancelled by Requestor Tower,,,,,,,,,,,,,,,Not Assigned,,Not Approved,#INVALID OPERATION,"08, 2025",2025-08-12 00:00:00,0.0,< 15 Days,nanaved@deloitte.com,,No,,No Objects,,In Progress,No,
,,INT-CR1052,Cancelled,,ERP,R3 (Release 3),Medium,06. PTP,6.8 PTP - QM,,06. PTP,Anant Joshi,,PTP - Richard Taylor,,,,,,,,,,Enhancement to existing MQCS Interface table to accommodate Bailment materials processing,To Enhance the existing MQCS disposition custom table in PTPI1032 interface in order to accommodate the UNBW Material type mapping in IF. This change is necessary to support the Bailment process.,To Enhance the existing MQCS disposition custom table in PTPI1032 interface in order to accommodate the UNBW Material type mapping in IF. This change is necessary to support the Bailment process.,,No,,,,,4. Change to Existing RICEFW / ECA/ Build Object,,,Medium,,2.0,,,,,,,,,,,,,,0.0,0.0,N/A,,,0.0,,,,0.0,,0.0,,0.0,0.0,,0.0,,0.0,0.0,N/A,0.0,,0.0,,0.0,,0.0,,,,0.0,16. Cancelled by Requestor Tower,,,,,,,,,,,,,Confirmed by Murthy to be cancelled,Build,Not Assigned,,Not Approved,#INVALID OPERATION,"08, 2025",2025-08-12 00:00:00,0.0,< 15 Days,nnagapushpa@deloitte.com,,No,,No Objects,,In Progress,No,
R2 (Hypercare),R2 Hypercare,INT-CR1053,Approved,,ERP,R2 Hypercare,High,04. OTC IF,4.8 OTC IF - EWM,Yes,"04. OTC IF
05. OTC IP",junior.milan@intel.com,,OTC IF - Angela Laskowski,,,,,INC14845309,Delivered,,,,Shipping Label Date Code,Date Code logic and format needs to align to Factory requirements of YYWW.,"Custom Shipping Label for Customer requires that it contains a properly formatted Intel Factory Date Code. This issue is tied to INT-CR1039, but a separate CR is being created to track the releases for different objects.",No,No,,,https://intel.sharepoint.com/:p:/r/sites/inteldeloitteiao/Shared%20Documents/General/Implementation/01.%20PMO/05.%20Scope%20and%20Change%20Control/Change%20Control/Change%20Request%20Decks/OTC/INT-CR1053_IF_R2_Ship%20Label%20Date%20Code.pptx?d=w8f3adbc3e38143ef89178873c8acb31b&csf=1&web=1&e=2i8D7e,,4. Change to Existing RICEFW / ECA/ Build Object,,No,,,0.0,,,,,,,,,6.0,,,,,0.0,6.0,N/A,No,,0.0,N/A,,,0.0,,0.0,,0.0,0.0,,0.0,,0.0,0.0,LOGI0278,1.0,LOGI0278,1.0,,0.0,,0.0,N/A,,,0.0,04. Tower/Horizontal Approved (end status),No,No,2025-08-13 00:00:00,Approved in ad hoc meeting with Uzma. Changes are already in Production,,,,,,,,,,Build,Tower,2025-08-13 00:00:00,"08, 2025","08, 2025","08, 2025",2025-08-12 00:00:00,0.0,< 15 Days,imme.sandweg@intel.com,,No,,No Objects,,In Progress,No,
R2 (Aug 2025),R2,INT-CR1054,Approved,"Presenter: Prabesh A, Bharath",SCP,R2 (Release 2),Very High,03. FPR,3.7 FPR - Product Costing and Inventory Valuation,,"03. FPR
08. FTS IP
10. Analytics
15. Cutover
16. Testing
17. B-App",soman.patil@intel.com,Data & Analytics - Rebecca Verette,FTS IP - Loni Adams,,N/A,RAID# 01860,N/A,,,,,,DLCP Reporting for ICOST Reserves Process,"Report is official publication provided on a monthly basis for determining DLCP (Die-Level Cherry Picking) Reserve type; If report is not provided, there is a risk of financial misstatement. We want to ensure that this report is prioritized for development and developed in a timely manner, early enough for testing. Details: Existing report PSC5 from SDA Team in Planning is being EOL'd after WW43 due to Blue Yonder implementation; Report is currently provided as a manual offline report via MS Teams. As of WW29, the FPR Division Costing Execution team was told first that the report was not impacted in R2, but later told it would be EOL'd",Process subject to SOX Control COS-108R; Report is required on a monthly basis for determining DLCP (Die-Level Cherry Picking) Reserve type; Inventory Impact accuracy (~$400M 2025Q2);,Impact to Schedule TBD as scope of work is being evaluated,Yes,,,https://intel.sharepoint.com/:p:/r/sites/inteldeloitteiao/Shared%20Documents/General/Implementation/01.%20PMO/05.%20Scope%20and%20Change%20Control/Change%20Control/Change%20Request%20Decks/FTS/R2/CR______%20-%20DLCP%20Reporting%20Change%20Request%20Form.pptx?d=w7f2fcb86666e426da750a3c504c38673&csf=1&web=1&e=BkVCGG,,1. Process Scope / Design Change,,No,,High,0.0,,,,,,,,,,,,,,0.0,0.0,N/A,No,,0.0,TBD,,,0.0,,0.0,,0.0,0.0,,0.0,,0.0,0.0,N/A,0.0,,0.0,,0.0,,0.0,N/A,,,0.0,10. OSC/CL Approved (end status),Yes,,2025-08-14 00:00:00,"o	This is a request is a must-have for R2 SCP as it is related to a SOX compliance issue.
o	AR: Include t-shirt sizing of the analysis effort (High, Medium, Low) to capture the tech work and schedule impacts. Include details on whether the teams doing the analysis will be impacted – @Patil, Soman
o	AR: Include back-up plan and workarounds if CR is not approved - @Patil, Soman",,,2025-08-29 00:00:00,"•	Decision - Approved
o	The report development was approved to proceed with implementation, with contingency plans for raw data delivery if the report is not ready for 10'25. Full report delivery is expected by 12'25",,,,,,Design,CL/OSC,2025-08-29 00:00:00,"08, 2025","08, 2025","08, 2025",2025-08-13 00:00:00,0.0,< 15 Days,web-form@smartsheet.com,,No,,No Objects,,In Progress,No,
